;Format of textures:
;TextureName	Width	Height
*	W_127       	0	0
FIRE16      		128	128
*	W_009       	0	0
FIRE17      		128	128
*	W_120       	0	0
*	W_121       	64	0
*	W_351       	0	96
FOREST01    		128	128
*	W_072       	0	0
FOREST02    		64	128
*	W_237       	0	0
*	W_237       	0	64
FOREST03    		128	128
*	W_035       	0	0
FOREST04    		128	128
*	W_036       	0	0
FOREST05    		64	128
*	W_240       	0	0
*	W_240       	0	64
FOREST06    		128	128
*	W_037       	0	0
FOREST07    		128	128
*	W_038       	0	0
FOREST10    		64	128
*	W_350       	0	0
FOREST11    		128	128
*	W_011       	0	0
FOREST12    		128	128
*	W_012       	0	0
FORPUZ1     		64	64
*	W_359       	0	0
FORPUZ2     		64	64
*	W_360       	0	0
FORPUZ3     		64	64
*	W_361       	0	0
GATE01      		128	72
*	W_221       	0	0
GATE02      		64	128
*	W_158       	0	0
GATE03      		64	64
*	W_219       	0	0
GATE04      		64	32
*	W_220       	0	0
GATE51      		64	128
*	W_157       	0	0
GATE52      		64	64
*	W_194       	0	0
GATE53      		64	32
*	W_197       	0	0
GEAR01      		64	64
*	W_294       	0	0
GEAR02      		64	64
*	W_295       	0	0
GEAR03      		64	64
*	W_296       	0	0
GEAR04      		64	64
*	W_297       	0	0
GEAR05      		64	64
*	W_298       	0	0
GEAR0A      		64	64
*	W_292       	0	0
GEAR0B      		64	64
*	W_293       	0	0
GEARW       		32	32
*	W_362       	0	0
GEARX       		32	32
*	W_363       	0	0
GEARY       		32	32
*	W_364       	0	0
GEARZ       		32	32
*	W_365       	0	0
GILO1       		16	128
*	W_334       	0	0
*	W_334       	0	64
GILO2       		16	128
*	W_335       	0	0
*	W_335       	0	64
GLASS01     		64	128
*	W_266       	0	0
GLASS02     		64	128
*	W_269       	0	0
GLASS03     		64	128
*	W_267       	0	0
GLASS04     		64	128
*	W_270       	0	0
GLASS05     		64	128
*	W_268       	0	0
GLASS06     		64	128
*	W_271       	0	0
GLASS07     		64	128
*	W_273       	0	0
GRAVE01     		64	40
*	W_211       	0	0
GRAVE03     		16	40
*	W_213       	0	0
GRAVE04     		64	40
*	W_211       	0	0
*	W_214       	10	4
GRAVE05     		64	40
*	W_211       	0	0
*	W_217       	10	4
GRAVE06     		64	40
*	W_211       	0	0
*	W_215       	14	3
GRAVE07     		64	40
*	W_211       	0	0
*	W_216       	14	3
GRAVE08     		64	40
*	W_211       	0	0
*	W_218       	18	3
ICE01       		64	128
*	W_129       	0	0
ICE02       		64	128
*	W_128       	0	0
ICE03       		128	128
*	W_078       	0	0
ICE06       		128	128
*	W_310       	0	0
MONK01      		128	128
*	W_041       	0	0
MONK02      		128	128
*	W_042       	0	0
MONK03      		128	128
*	W_077       	0	0
MONK04      		128	128
*	W_042       	0	0
*	W_201       	0	96
MONK05      		128	128
*	W_042       	0	0
*	W_202       	0	96
MONK06      		128	128
*	W_042       	0	0
*	W_200       	0	50
MONK07      		128	128
*	W_043       	0	0
MONK08      		128	128
*	W_044       	0	0
MONK09      		128	128
*	W_042       	0	0
*	W_201       	0	96
*	W_200       	0	50
MONK11      		128	128
*	W_042       	0	0
*	W_199       	0	50
MONK12      		128	128
*	W_042       	0	0
*	W_201       	0	96
*	W_199       	0	50
MONK14      		64	128
*	W_130       	0	0
MONK15      		64	128
*	W_131       	0	0
MONK16      		64	128
*	W_132       	0	0
MONK17      		128	128
*	W_045       	0	0
MONK18      		128	128
*	W_046       	0	0
MONK19      		128	128
*	W_047       	0	0
MONK21      		128	128
*	W_049       	0	0
MONK22      		128	128
*	W_050       	0	0
MONK23      		128	128
*	W_025       	0	0
MONK24      		128	128
*	W_026       	0	0
PILLAR01    		32	128
*	W_153       	0	0
*	W_154       	16	0
PILLAR02    		32	128
*	W_155       	16	0
*	W_155       	0	0
PLANET1     		128	128
*	W_053       	0	0
PLANET2     		128	128
*	W_054       	0	0
PLAT01      		64	128
*	W_311       	0	0
PLAT02      		64	128
*	W_312       	0	0
PRTL02      		128	128
*	W_057       	0	0
PRTL03      		128	128
*	W_058       	0	0
PRTL04      		64	128
*	W_133       	0	0
PRTL05      		128	128
*	W_076       	0	0
PRTL06      		128	128
*	W_015       	0	0
PRTL07      		128	128
*	W_016       	0	0
PUZZLE1     		32	32
*	W_180       	0	0
PUZZLE10    		64	64
*	W_164       	0	0
PUZZLE11    		64	64
*	W_165       	0	0
PUZZLE12    		64	64
*	W_166       	0	0
PUZZLE2     		32	32
*	W_181       	0	0
PUZZLE3     		32	32
*	W_182       	0	0
PUZZLE4     		32	32
*	W_183       	0	0
PUZZLE5     		64	64
*	W_159       	0	0
PUZZLE6     		64	64
*	W_160       	0	0
PUZZLE7     		64	64
*	W_161       	0	0
PUZZLE8     		64	64
*	W_162       	0	0
PUZZLE9     		64	64
*	W_163       	0	0
S_01        		64	64
*	W_227       	0	0
S_02        		64	64
*	W_231       	0	0
S_04        		64	64
*	W_236       	0	0
S_05        		64	64
*	W_229       	0	0
S_06        		64	64
*	W_232       	0	0
S_07        		64	64
*	W_233       	0	0
S_09        		64	64
*	W_228       	0	0
S_11        		64	64
*	W_234       	0	0
S_12        		64	64
*	W_235       	0	0
S_13        		64	16
*	W_209       	0	0
SEWER01     		64	128
*	W_101       	0	0
SEWER02     		64	128
*	W_255       	0	0
SEWER03     		64	64
*	W_195       	0	0
SEWER04     		64	32
*	W_198       	0	0
SEWER05     		64	128
*	W_118       	0	0
SEWER06     		64	128
*	W_119       	0	0
SEWER07     		64	128
*	W_120       	0	0
SEWER08     		64	128
*	W_121       	0	0
SEWER09     		64	128
*	W_122       	0	0
SEWER10     		64	128
*	W_123       	0	0
SEWER11     		64	128
*	W_124       	0	0
SEWER12     		64	128
*	W_125       	0	0
SEWER13     		128	128
*	W_023       	0	0
SEWER14     		128	128
*	W_024       	0	0
SKY1        		256	200
*	SKY1        	0	0
SKY2        		256	200
*	SKY2        	0	0
SKY3        		256	200
*	SKY2A       	0	0
SKY4        		256	200
*	SKY3        	0	0
SKYFOG      		256	200
*	SKYFOG      	0	0
SKYFOG2     		256	200
*	SKYFOG2     	0	0
SKYWALL     		256	200
*	SKYWALL     	0	0
SKYWALL2    		256	200
*	SKYWALL2    	0	0
SPAWN01     		64	64
*	W_313       	0	0
SPAWN02     		64	64
*	W_314       	0	0
SPAWN03     		64	64
*	W_315       	0	0
SPAWN04     		64	64
*	W_316       	0	0
SPAWN05     		64	64
*	W_317       	0	0
SPAWN06     		64	64
*	W_318       	0	0
SPAWN07     		64	64
*	W_319       	0	0
SPAWN08     		128	128
*	W_329       	0	0
SPAWN09     		128	128
*	W_330       	0	0
SPAWN10     		128	128
*	W_331       	0	0
SPAWN11     		32	32
*	W_333       	0	0
SPAWN12     		32	32
*	W_332       	0	0
SPAWN13     		64	64
*	W_344       	0	0
STEEL01     		128	128
*	W_059       	0	0
STEEL02     		128	128
*	W_060       	0	0
STEEL05     		128	128
*	W_061       	0	0
STEEL06     		128	128
*	W_062       	0	0
STEEL07     		128	128
*	W_073       	0	0
STEEL08     		16	128
*	W_152       	0	0
SW51_OFF    		32	32
*	W_167       	0	0
SW51_ON     		32	32
*	W_168       	0	0
SW52_OFF    		32	32
*	W_169       	0	0
SW52_ON     		32	32
*	W_170       	0	0
SW53_DN     		32	40
*	W_173       	0	0
SW53_MD     		32	40
*	W_172       	0	0
SW53_UP     		32	40
*	W_171       	0	0
SW_1_DN     		32	48
*	W_176       	0	0
SW_1_MD     		32	48
*	W_175       	0	0
SW_1_UP     		32	48
*	W_174       	0	0
SW_2_DN     		32	48
*	W_179       	0	0
SW_2_MD     		32	48
*	W_178       	0	0
SW_2_UP     		32	48
*	W_177       	0	0
SW_EL1      		32	32
*	W_345       	0	0
SW_EL2      		32	32
*	W_346       	0	0
SW_EL3      		32	32
*	W_347       	0	0
SW_EL4      		32	32
*	W_348       	0	0
SW_EL5      		32	32
*	W_349       	0	0
SW_OL1      		32	32
*	W_339       	0	0
SW_OL2      		32	32
*	W_340       	0	0
SW_OL3      		32	32
*	W_341       	0	0
SW_OL4      		32	32
*	W_342       	0	0
SW_OL5      		32	32
*	W_343       	0	0
SWAMP01     		64	128
*	W_142       	0	0
SWAMP03     		64	128
*	W_143       	0	0
SWAMP04     		64	128
*	W_144       	0	0
SWAMP06     		128	128
*	W_019       	0	0
SWAMP07     		128	128
*	W_020       	0	0
T2_STEP     		64	16
*	W_210       	0	0
TOMB01      		256	128
*	W_093       	0	0
TOMB02      		128	128
*	W_065       	0	0
TOMB03      		128	128
*	W_066       	0	0
TOMB04      		64	128
*	W_139       	0	0
TOMB05      		128	128
*	W_064       	0	0
TOMB06      		128	128
*	W_063       	0	0
TOMB07      		64	128
*	W_097       	0	0
TOMB08      		128	128
*	W_067       	0	0
TOMB09      		128	128
*	W_069       	0	0
TOMB10      		128	128
*	W_070       	0	0
TOMB11      		128	128
*	W_068       	0	0
TOMB12      		128	128
*	W_027       	0	0
TOMB13      		128	128
*	W_028       	0	0
TOMB18      		128	128
*	W_272       	0	0
TPORT1      		64	128
*	W_256       	0	0
TPORT2      		64	128
*	W_257       	0	0
TPORT3      		64	128
*	W_258       	0	0
TPORT4      		64	128
*	W_259       	0	0
TPORT5      		64	128
*	W_260       	0	0
TPORT6      		64	128
*	W_261       	0	0
TPORT7      		64	128
*	W_262       	0	0
TPORT8      		64	128
*	W_263       	0	0
TPORT9      		64	128
*	W_264       	0	0
TPORTX      		64	128
*	W_265       	0	0
VALVE01     		64	64
*	W_186       	0	0
VALVE02     		64	64
*	W_187       	0	0
VALVE1      		32	32
*	W_184       	0	0
VALVE2      		32	32
*	W_185       	0	0
VILL01      		128	128
*	W_040       	0	0
VILL04      		64	128
*	W_146       	0	0
VILL05      		64	128
*	W_147       	0	0
VILL06      		64	128
*	W_156       	0	0
VILL07      		64	64
*	W_193       	0	0
VILL08      		64	96
*	W_196       	0	6
WASTE01     		256	128
*	W_091       	0	0
WASTE02     		256	128
*	W_092       	0	0
WASTE03     		128	128
*	W_033       	0	0
WASTE04     		128	128
*	W_034       	0	0
WEB1_L      		32	40
*	W_188       	0	0
WEB1_R      		32	40
*	W_191       	0	0
WEB2_L      		32	40
*	W_189       	0	0
WEB2_R      		32	40
*	W_192       	0	0
WEB3        		32	40
*	W_190       	0	0
WINN01      		64	128
*	W_327       	0	0
WINNOW02    		128	128
*	W_337       	0	0
WOOD01      		64	128
*	W_137       	0	0
WOOD02      		64	128
*	W_238       	0	0
*	W_238       	0	64
WOOD03      		64	128
*	W_145       	0	0
WOOD04      		64	128
*	W_145       	0	0
*	W_208       	0	116
X_FAC01     		128	128
*	W_079       	0	0
X_FAC02     		128	128
*	W_080       	0	0
X_FAC03     		128	128
*	W_081       	0	0
X_FAC04     		128	128
*	W_082       	0	0
X_FAC05     		128	128
*	W_083       	0	0
X_FAC06     		128	128
*	W_084       	0	0
X_FAC07     		128	128
*	W_085       	0	0
X_FAC08     		128	128
*	W_086       	0	0
X_FAC09     		128	128
*	W_087       	0	0
X_FAC10     		128	128
*	W_088       	0	0
X_FAC11     		128	128
*	W_089       	0	0
X_FAC12     		128	128
*	W_090       	0	0
X_FIRE01    		64	128
*	W_245       	0	0
X_FIRE02    		64	128
*	W_246       	0	0
X_FIRE03    		64	128
*	W_247       	0	0
X_FIRE04    		64	128
*	W_248       	0	0
X_SWMP1     		64	128
*	W_249       	0	0
X_SWMP2     		64	128
*	W_250       	0	0
X_SWMP3     		64	128
*	W_251       	0	0
X_SWR1      		64	128
*	W_252       	0	0
X_SWR2      		64	128
*	W_253       	0	0
X_SWR3      		64	128
*	W_254       	0	0
X_WATER1    		64	128
*	W_241       	0	0
X_WATER2    		64	128
*	W_242       	0	0
X_WATER3    		64	128
*	W_243       	0	0
X_WATER4    		64	128
*	W_244       	0	0
;End
